Demonstração de Controlador PID Discreto
Tempo,Setpoint,Saída,ControlPID
1.81,50,50.0324,49.6492
1.82,50,50.0234,49.5243
1.83,50,50.0126,49.4526
1.84,50,50.0013,49.4378
1.85,50,49.9904,49.4781
1.86,50,49.9812,49.5664
1.87,50,49.9743,49.6913
1.88,50,49.9703,49.8387
1.89,50,49.9694,49.9931
1.9,50,49.9715,50.1391
1.91,50,49.9762,50.2632
1.92,50,49.9829,50.3547
1.93,50,49.9909,50.4066
1.94,50,49.9993,50.4163
1.95,50,50.0073,50.3853
1.96,50,50.0141,50.319
1.97,50,50.0192,50.2257
1.98,50,50.0221,50.1161
1.99,50,50.0227,50.0018
2,50,50.0211,49.8939
2.01,50,50.0175,49.8025
2.02,50,50.0125,49.7356
2.03,50,50.0065,49.698
2.04,50,50.0003,49.6917
2.05,50,49.9944,49.7156
2.06,50,49.9894,49.7654
2.07,50,49.9857,49.835
2.08,50,49.9836,49.9164
2.09,50,49.9832,50.0012
2.1,50,49.9844,50.0809
2.11,50,49.9871,50.1481
2.12,50,49.9909,50.1971
2.13,50,49.9953,50.2243
2.14,50,49.9999,50.2282
2.15,50,50.0043,50.2099
2.16,50,50.0079,50.1725
2.17,50,50.0107,50.1206
2.18,50,50.0122,50.0601
2.19,50,50.0124,49.9973
2.2,50,50.0115,49.9384
2.21,50,50.0095,49.889
2.22,50,50.0067,49.8531
2.23,50,50.0034,49.8335
2.24,50,50,49.831
2.25,50,49.9968,49.845
2.26,50,49.994,49.8732
2.27,50,49.9921,49.9119
2.28,50,49.991,49.9569
2.29,50,49.9908,50.0034
2.3,50,49.9915,50.0468
2.31,50,49.993,50.0832
2.32,50,49.9951,50.1095
2.33,50,49.9976,50.1237
2.34,50,50.0001,50.1251
2.35,50,50.0025,50.1143
2.36,50,50.0045,50.0932
2.37,50,50.0059,50.0643
2.38,50,50.0067,50.0309
2.39,50,50.0068,49.9965
2.4,50,50.0063,49.9644
2.41,50,50.0051,49.9376
2.42,50,50.0036,49.9184
2.43,50,50.0018,49.9082
2.44,50,49.9999,49.9074
2.45,50,49.9981,49.9156
2.46,50,49.9966,49.9315
2.47,50,49.9956,49.953
2.48,50,49.995,49.9778
2.49,50,49.995,50.0033
2.5,50,49.9954,50.027
2.51,50,49.9962,50.0467
2.52,50,49.9974,50.0608
2.53,50,49.9987,50.0682
2.54,50,50.0001,50.0685
2.55,50,50.0014,50.0623
2.56,50,50.0025,50.0504
2.57,50,50.0033,50.0343
2.58,50,50.0037,50.0159
2.59,50,50.0037,49.997
2.6,50,50.0034,49.9795
2.61,50,50.0028,49.965
2.62,50,50.0019,49.9547
2.63,50,50.0009,49.9494
2.64,50,49.9999,49.9493
2.65,50,49.9989,49.9541
2.66,50,49.9981,49.963
2.67,50,49.9976,49.975
2.68,50,49.9973,49.9887
2.69,50,49.9972,50.0026
2.7,50,49.9975,50.0156
2.71,50,49.998,50.0262
2.72,50,49.9986,50.0337
2.73,50,49.9994,50.0375
2.74,50,50.0001,50.0375
2.75,50,50.0008,50.0339
2.76,50,50.0014,50.0272
2.77,50,50.0018,50.0183
2.78,50,50.002,50.0081
2.79,50,50.002,49.9977
2.8,50,50.0019,49.9882
2.81,50,50.0015,49.9804
2.82,50,50.001,49.9749
2.83,50,50.0005,49.9721
2.84,50,49.9999,49.9722
2.85,50,49.9994,49.975
2.86,50,49.9989,49.98
2.87,50,49.9986,49.9867
2.88,50,49.9985,49.9942
2.89,50,49.9985,50.0019
2.9,50,49.9986,50.0089
2.91,50,49.9989,50.0147
2.92,50,49.9993,50.0187
2.93,50,49.9997,50.0207
2.94,50,50.0001,50.0205
2.95,50,50.0005,50.0184
2.96,50,50.0008,50.0147
